iter	Logloss
0	0.6812126445
1	0.6701545592
2	0.6582943029
3	0.6484225145
4	0.6388788446
5	0.6299603509
6	0.6208909693
7	0.6131422944
8	0.6048536162
9	0.5970139278
10	0.5909052695
11	0.5847208825
12	0.5789313507
13	0.5745149743
14	0.5696913875
15	0.5644749002
16	0.5602856956
17	0.5555294107
18	0.5513860485
19	0.5470622078
20	0.5424820672
21	0.5376900993
22	0.5337643315
23	0.5305772823
24	0.5265937092
25	0.5230335508
26	0.5206659705
27	0.5174709289
28	0.5146901391
29	0.5121966821
30	0.509038057
31	0.5066428836
32	0.5042259187
33	0.5019525906
34	0.5001681398
35	0.4975995069
36	0.49504547
37	0.4928371225
38	0.4911170957
39	0.4896574213
40	0.4876748627
41	0.4858980491
42	0.484064782
43	0.4823898866
44	0.480659984
45	0.4800019207
46	0.4788858695
47	0.4776285519
48	0.4757501317
49	0.4737103167
50	0.4723102767
51	0.4713586108
52	0.4701427543
53	0.4688338747
54	0.4678563874
55	0.4667570288
56	0.4653156216
57	0.4645459162
58	0.4637131588
59	0.4623468758
60	0.4613204529
61	0.4603063158
62	0.4592076921
63	0.4583062759
64	0.4575169051
65	0.4567705146
66	0.4554924399
67	0.4546501669
68	0.4537811257
69	0.4532398515
70	0.4523246755
71	0.4514858167
72	0.450766612
73	0.4497033692
74	0.4488564008
75	0.4481970774
76	0.4475824029
77	0.4468725984
78	0.4460897909
79	0.4456390129
80	0.4449537782
81	0.4443382174
82	0.4436759135
83	0.4432102691
84	0.4427456018
85	0.4422968952
86	0.4419148511
87	0.4414248685
88	0.4409346774
89	0.440412544
90	0.4400481579
91	0.439451627
92	0.4388799888
93	0.4383952616
94	0.4377898233
95	0.4374955684
96	0.4371619188
97	0.4364983052
98	0.4361326493
99	0.43556873
100	0.434770125
101	0.4342877226
102	0.433796617
103	0.4332846266
104	0.4329850622
105	0.4326409853
106	0.4321512777
107	0.4317329822
108	0.4313959329
109	0.4310153404
110	0.4307006417
111	0.4303071693
112	0.4297587549
113	0.4294339609
114	0.4290667395
115	0.4287640876
116	0.4283526579
117	0.427808865
118	0.4275270965
119	0.4271465837
120	0.4268345026
121	0.4264593527
122	0.4260601224
123	0.4257793724
124	0.4254870986
125	0.4248627974
126	0.4246001611
127	0.4242891934
128	0.4239890735
129	0.4234384928
130	0.4230617087
131	0.4227399111
132	0.4222740965
133	0.4220030261
134	0.4216960796
135	0.421483749
136	0.4212577221
137	0.4206210815
138	0.4203927239
139	0.4201626083
140	0.4199470195
141	0.4197445516
142	0.4195242565
143	0.419116452
144	0.4189605544
145	0.4188296534
146	0.4186607045
147	0.418433551
148	0.4179865412
149	0.4176861621
150	0.4174530721
151	0.4172358209
152	0.4170609972
153	0.4168513376
154	0.4166940562
155	0.4164958143
156	0.4160739902
157	0.4158564142
158	0.4156400475
159	0.4154326196
160	0.4150588118
161	0.4148505848
162	0.4146343791
163	0.4144340593
164	0.4142604924
165	0.4141202895
166	0.4138300047
167	0.4136167246
168	0.4134444227
169	0.4132096195
170	0.4129856952
171	0.4128094625
172	0.4126215849
173	0.4123732045
174	0.412233207
175	0.412109013
176	0.4120033928
177	0.4116875157
178	0.4115024474
179	0.4113768202
180	0.4112651926
181	0.4111083032
182	0.4109489998
183	0.4107932923
184	0.4107598178
185	0.4106092906
186	0.4104803009
187	0.4103761431
188	0.410244716
189	0.4101175208
190	0.4099441308
191	0.4098127071
192	0.409536878
193	0.4094112591
194	0.4093245872
195	0.4092138968
196	0.4090296426
197	0.4089212946
198	0.4087731363
199	0.4085469208
200	0.4082638917
201	0.4080550207
202	0.407857487
203	0.4077135205
204	0.4073390133
205	0.4070145338
206	0.4068488147
207	0.4067236636
208	0.4065431095
209	0.4064491407
210	0.4062736972
211	0.40612264
212	0.4059165135
213	0.4057646078
214	0.405650437
215	0.4055561772
216	0.4054282612
217	0.4053351005
218	0.4052099978
219	0.4048785341
220	0.4047191986
221	0.4046054569
222	0.4044955648
223	0.4043067912
224	0.4041660028
225	0.4038549657
226	0.4038218347
227	0.4037172486
228	0.4036123149
229	0.4035090406
230	0.403325105
231	0.4032014626
232	0.4031053618
233	0.4030284386
234	0.4028902135
235	0.4027269289
236	0.4026349783
237	0.4025507324
238	0.4025245651
239	0.4021082649
240	0.401965624
241	0.4017166597
242	0.4016190403
243	0.4014849043
244	0.401341142
245	0.4012096205
246	0.4011116156
247	0.4010098382
248	0.4009107131
249	0.4008127152
250	0.4004998488
251	0.4003977315
252	0.4003243359
253	0.4002132958
254	0.4000985286
255	0.3999660092
