iter	Passed	Remaining
0	8	8149
1	16	8258
2	24	8054
3	32	8029
4	40	7993
5	48	7965
6	56	7960
7	78	9786
8	110	12131
9	128	12764
10	136	12262
11	157	12940
12	165	12527
13	172	12175
14	180	11824
15	186	11469
16	194	11249
17	202	11046
18	210	10866
19	218	10711
20	226	10558
21	233	10392
22	241	10273
23	249	10158
24	257	10058
25	266	9965
26	274	9874
27	281	9781
28	289	9695
29	295	9559
30	303	9490
31	311	9425
32	319	9368
33	327	9305
34	335	9255
35	343	9204
36	351	9150
37	358	9087
38	366	9042
39	375	9000
40	382	8954
41	388	8868
42	396	8833
43	403	8760
44	411	8725
45	417	8653
46	424	8612
47	432	8576
48	439	8524
49	445	8457
50	453	8433
51	459	8372
52	465	8314
53	473	8290
54	481	8270
55	488	8240
56	495	8201
57	503	8181
58	511	8163
59	519	8144
60	527	8125
61	536	8110
62	543	8079
63	551	8061
64	559	8045
65	566	8017
66	574	7993
67	583	7990
68	591	7986
69	599	7960
70	605	7923
71	613	7903
72	621	7887
73	628	7868
74	635	7837
75	643	7824
76	651	7811
77	659	7797
78	667	7781
79	674	7754
80	682	7741
81	690	7726
82	709	7843
83	731	7976
84	762	8208
85	769	8176
86	775	8140
87	783	8123
88	790	8093
89	797	8068
90	806	8052
91	812	8019
92	820	8003
93	828	7987
94	836	7968
95	844	7953
96	851	7924
97	857	7896
98	866	7884
99	872	7852
100	879	7828
101	885	7800
102	893	7785
103	898	7739
104	905	7716
105	911	7685
106	915	7642
107	923	7625
108	931	7612
109	939	7598
110	947	7587
111	955	7573
112	962	7559
113	970	7544
114	976	7517
115	982	7487
116	990	7473
117	998	7463
118	1005	7443
119	1012	7427
120	1019	7405
121	1027	7393
122	1035	7380
123	1042	7366
124	1051	7357
125	1059	7346
126	1065	7323
127	1071	7298
128	1078	7284
129	1086	7272
130	1094	7259
131	1102	7249
132	1109	7235
133	1117	7221
134	1125	7209
135	1132	7197
136	1141	7187
137	1148	7173
138	1155	7159
139	1163	7144
140	1170	7133
141	1178	7121
142	1186	7110
143	1194	7099
144	1201	7084
145	1209	7073
146	1217	7062
